*Fecha de Pago,*Forma de Pago,*Monto,*Moneda,*Tipo de cambio del dia del pago para moneda del pago,Tipo de cambio del dia del pago para moneda del documento relacionado,*Numero de Operacion,Banco Ordenante,Banco Beneficiario,*Numero de Parcialidad,*Serie de la Factura,*Folio de la Factura,Importe Pagado,Importe Saldo Anterior,Importe Saldo Insoluto
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79897,1019.25,1019.25,0
23/11/2020,17,1201286.89,USD,20.1172,21.780798,,,,1,FAC,79898,4227.16,4227.16,0
23/11/2020,17,1201286.89,USD,20.1172,21.356113,,,,1,FAC,79899,765,765,0
23/11/2020,17,1201286.89,USD,20.1172,21.063718,,,,1,FAC,79903,355,355,0
23/11/2020,17,1201286.89,USD,20.1172,20.921815,,,,1,FAC,79909,650,650,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79912,465,465,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79913,612.9,612.9,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79916,454.74,454.74,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79917,1421.66,1421.66,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79918,493.99,493.99,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79919,478.49,478.49,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79920,286.71,286.71,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79921,1154.31,1154.31,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79922,377.04,377.04,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79923,787.12,787.12,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79924,425.71,425.71,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79925,481.14,481.14,0
23/11/2020,17,1201286.89,USD,20.1172,22.430074,,,,1,FAC,79926,419.22,419.22,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79927,173.8,173.8,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79928,426.81,426.81,0
23/11/2020,17,1201286.89,USD,20.1172,22.321429,,,,1,FAC,79929,436.71,436.71,0
